feature,rfe_inclusion_prob,lasso_inclusion_prob,fdr_inclusion_prob
AFFX-BioB-5_at,0.05,0.0,0.0
AFFX-BioC-5_at,0.15,0.0,0.0
AFFX-BioDn-3_at,0.15,0.0,0.0
AFFX-BioB-5_st,0.075,0.0,0.0
AFFX-BioB-M_st,0.05,0.0,0.0
AFFX-BioB-3_st,0.075,0.0,0.0
AFFX-BioDn-5_st,0.05,0.0,0.0
AFFX-BioDn-3_st,0.275,0.0,0.0
AFFX-CreX-5_st,0.05,0.0,0.0
AFFX-DapX-5_at,0.075,0.0,0.0
AFFX-DapX-M_at,0.125,0.0,0.0
AFFX-LysX-3_at,0.05,0.0,0.0
AFFX-PheX-M_at,0.1,0.0,0.0
AFFX-HUMISGF3A/M97935_MB_at,0.05,0.0,0.0
AFFX-HUMISGF3A/M97935_3_at,0.175,0.0,0.0
AFFX-HUMRGE/M10098_5_at,0.225,0.0,0.0
AFFX-HUMRGE/M10098_M_at,0.325,0.0,0.0
AFFX-HUMRGE/M10098_3_at,0.35,0.0,0.0
AFFX-HSAC07/X00351_5_at,0.05,0.0,0.0
AFFX-HSAC07/X00351_M_at,0.05,0.0,0.0
AFFX-HSAC07/X00351_3_at,0.175,0.0,0.0
AFFX-HUMTFRR/M11507_5_at,0.45,0.0,0.0
AFFX-HUMTFRR/M11507_M_at,0.975,0.0,0.0
AFFX-HUMTFRR/M11507_3_at,0.15,0.0,0.0
AFFX-M27830_5_at,0.15,0.0,0.0
AFFX-M27830_M_at,0.075,0.0,0.0
AFFX-M27830_3_at,0.225,0.0,0.0
AFFX-HSAC07/X00351_3_st,0.075,0.0,0.0
AFFX-HUMGAPDH/M33197_5_st,0.125,0.0,0.0
AFFX-HSAC07/X00351_5_st,0.1,0.0,0.0
A28102_at,0.025,0.0,0.0
AB000115_at,0.375,0.0,0.0
AB000220_at,0.025,0.0,0.0
AB000449_at,0.275,0.0,0.0
AB000460_at,0.075,0.0,0.0
AB000462_at,0.075,0.0,0.0
AB000464_at,0.25,0.0,0.0
AB000467_at,0.2,0.0,0.0
AB000468_at,0.025,0.0,0.0
AB000584_at,0.025,0.0,0.0
AB000895_at,0.8,0.0,0.0
AB002314_at,0.05,0.0,0.0
AB002315_at,0.125,0.0,0.0
AB002366_at,0.1,0.0,0.0
AB002380_at,0.15,0.0,0.0
AB002559_at,0.9,0.0,0.0
AB003103_at,0.025,0.0,0.0
AB003177_at,0.075,0.0,0.0
AB004884_at,0.15,0.0,0.0
AC000061_cds2_at,0.275,0.0,0.0
AC000064_cds1_at,0.8,0.0,0.0
AC002073_cds1_at,0.025,0.0,0.0
AC002077_at,0.075,0.0,0.0
AC002115_cds3_at,0.025,0.0,0.0
AC002115_cds4_at,0.05,0.0,0.0
AC002115_rna2_at,0.075,0.0,0.0
AC002450_at,0.025,0.0,0.0
AC002464_at,0.15,0.0,0.0
AD000092_cds1_at,0.025,0.0,0.0
